State name,CATEGORY,Count
ORISSA,Population,41974218
CHHATTISGARH,Population,25545198
MADHYA PRADESH,Population,72626809
GUJARAT,Population,60439692
MAHARASHTRA,Population,112374333
ANDHRA PRADESH,Population,84580777
KARNATAKA,Population,61095297
KERALA,Population,33406061
TAMIL NADU,Population,72147030
ANDAMAN AND NICOBAR ISLANDS,Population,380581
NCT OF DELHI,Population,16787941
DADRA AND NAGAR HAVELI,Population,586956
GOA,Population,1458545
PONDICHERRY,Population,1247953
